epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,83346.5,2.08531,1.35559,0.00263,0.53941,0.37967,0.38537,0.22058,1.94215,1.31726,0.00338,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,84746.7,2.07067,1.34861,0.00261,0.53247,0.38671,0.39273,0.2223,1.94776,1.32169,0.00341,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,86946.7,2.06915,1.34449,0.00262,0.53895,0.38238,0.39033,0.22202,1.94963,1.30801,0.00336,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,88231.3,2.06848,1.34404,0.00262,0.53123,0.39163,0.39322,0.22429,1.94847,1.31741,0.00338,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,90797.8,2.06226,1.33958,0.0026,0.53088,0.37861,0.39015,0.22252,1.92614,1.31117,0.00336,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,93124.8,2.06811,1.33682,0.0026,0.53026,0.38901,0.39254,0.22399,1.92776,1.2949,0.00335,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,95166.6,2.06745,1.33396,0.00259,0.5377,0.38745,0.39239,0.22455,1.92487,1.30739,0.00335,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,98087.5,2.05866,1.33039,0.00258,0.55733,0.38324,0.39635,0.22767,1.9265,1.3009,0.00334,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,100643,2.0522,1.32614,0.00257,0.5513,0.38837,0.39548,0.22724,1.92918,1.29575,0.00334,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,102581,2.04809,1.32203,0.00258,0.54819,0.38347,0.39603,0.22772,1.91857,1.30083,0.00332,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,103549,2.04487,1.31301,0.00255,0.54488,0.39316,0.40159,0.23062,1.91283,1.29366,0.00332,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,104355,2.04607,1.31183,0.00255,0.5384,0.39094,0.39893,0.22755,1.9341,1.29622,0.00334,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,106483,2.04629,1.31246,0.00254,0.54327,0.39852,0.40494,0.23375,1.91417,1.28828,0.00329,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,107163,2.04847,1.31336,0.00255,0.54415,0.39223,0.40064,0.23038,1.91995,1.28556,0.0033,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
